id_aluno,idade_aluno_2020,fase_2020,turma_2020,ponto_virada_2020,pedra_2020,ian_2020,ida_2020,ieg_2020,iaa_2020,ips_2020,ipp_2020,ipv_2020,inde_2020,instituicao_ensino_aluno_2020,anos_pm_2020,inde_conceito_2020,destaque_ieg_2020,destaque_ida_2020,destaque_ipv_2020
pm-1252,16,6,B,Não,Quartzo,10.0,3.1666666666666665,6.5,0.0,7.5,7.1875,6.9999975,5.802082833333333,Escola Pública,2,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1253,10,0,G,Não,Ametista,5.0,10.0,10.0,8.500020000000001,5.625,2.5,6.3333200000000005,7.429166,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1254,12,2,D,Não,Ágata,5.0,8.0,3.5,8.500020000000001,6.875,7.8125,7.0,6.518752000000001,Escola Pública,2,C,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1256,15,4,A,Não,Quartzo,5.0,0.0,4.6,7.91667,7.5,7.916666666666668,8.222226666666668,5.397779,Escola Pública,2,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1257,14,3,M,Não,Ametista,5.0,8.0,6.8,10.000020000000001,7.5,7.96875,8.166667499999999,7.6402105,Escola Pública,1,B,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1260,10,1,C,Não,Ametista,5.0,9.0,8.9,9.500020000000001,7.5,7.291666666666667,7.333333333333333,7.975835333333334,Escola Pública,0,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1261,15,5,G,Não,Quartzo,10.0,0.6666666666666666,7.5,7.91667,3.125,6.40625,5.2916625,5.436457833333334,Rede Decisão/União,4,D,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1262,15,4,A,Não,Ágata,5.0,2.6666666666666665,9.0,8.33334,7.5,8.125,8.055560000000002,6.840279333333334,Escola Pública,0,C,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1264,10,1,H,Não,Ametista,5.0,9.5,8.4,10.000020000000001,7.5,7.916666666666668,7.444443333333333,8.110557333333334,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1265,16,4,B,Não,Ametista,5.0,7.666666666666667,9.9,8.75001,7.5,8.749999999999998,8.055560000000002,8.124446333333335,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
