id_aluno,idade_aluno_2020,fase_2021,turma_2021,ponto_virada_2021,pedra_2021,ian_2021,ida_2021,ieg_2021,iaa_2021,ips_2021,ipp_2021,ipv_2021,inde_2021,instituicao_ensino_aluno_2021,sinalizador_ingressante_2021,rec_equipe_1_2021,rec_equipe_2_2021,rec_equipe_3_2021,rec_equipe_4_2021,nivel_ideal_2021,defasagem_2021
pm-930,15,5.0,A,Sim,Topázio,5.0,9.0,8.3,10.0,7.5,8.0,9.3,8.355,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Nível 6 (2o EM),-1.0
pm-931,9,1.0,G,Não,Ametista,5.0,6.6,9.6,8.5,6.9,8.3,8.2,7.757,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-932,12,3.0,B,Não,Ametista,10.0,6.4,5.8,10.0,7.5,7.1,6.9,7.289,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-937,10,2.0,G,Não,Topázio,10.0,8.3,8.3,10.0,7.5,8.1,8.4,8.581,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-938,13,3.0,G,Não,Ágata,5.0,6.0,7.5,8.8,6.3,7.9,7.0,6.883,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 4 (9o ano),-1.0
pm-939,,3.0,D,Não,Ágata,5.0,7.4,5.0,9.2,4.4,9.1,6.2,6.469,Escola Pública,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1.0
pm-940,9,1.0,C,Não,Ágata,5.0,2.9,8.3,8.5,7.5,7.9,7.1,6.557,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-944,14,3.0,F,Não,Quartzo,5.0,1.3,4.7,9.2,5.6,7.3,3.6,4.625,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 5 (1o EM),-2.0
pm-945,,3.0,D,Não,Ametista,5.0,9.0,6.4,8.8,7.5,8.3,8.6,7.747,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Não avaliado,Nível 5 (1o EM),-2.0
pm-946,,3.0,M,Não,Ametista,10.0,7.1,6.1,7.9,7.5,7.5,8.1,7.542,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-947,,1.0,F,Não,Ametista,5.0,5.1,8.8,8.5,7.5,8.1,8.1,7.31,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-948,13,3.0,C,Não,Ametista,5.0,6.2,6.4,8.3,7.5,7.5,7.8,6.908,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1.0
pm-951,16,6.0,A,Não,Ametista,5.0,7.0,7.2,8.3,7.5,8.0,7.6,7.233,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Nível 7 (3o EM),-1.0
pm-956,,0.0,P,Não,Ametista,10.0,5.9,7.5,9.0,7.5,7.5,7.6,7.604,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-957,10,2.0,N,Não,Ametista,10.0,5.3,7.5,7.5,7.5,8.1,7.9,7.44,Rede Decisão,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-958,15,4.0,G,Não,Ametista,5.0,7.6,8.1,7.1,6.9,8.1,8.3,7.494,Rede Decisão,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Nível 6 (2o EM),-2.0
pm-959,,1.0,N,Sim,Ametista,5.0,6.1,10.0,9.0,7.5,8.1,9.4,8.064,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-961,9,2.0,N,Não,Ametista,10.0,4.2,7.5,9.5,6.3,7.7,7.9,7.261,Rede Decisão,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-963,,1.0,G,Não,Ametista,5.0,7.3,9.6,7.0,7.5,8.1,8.8,7.885,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-964,11,2.0,G,Não,Ágata,5.0,6.3,5.4,0.0,7.5,8.3,8.0,6.029,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-965,12,3.0,C,Não,Ametista,10.0,5.0,6.1,8.8,7.5,7.5,8.2,7.239,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-966,,0.0,K,Não,Quartzo,5.0,0.0,0.0,8.0,7.5,2.5,5.0,3.3,Escola Pública,Ingressante,Não avaliado,Alocado em Fase anterior,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0
pm-969,,0.0,J,Sim,Topázio,5.0,7.7,10.0,9.5,7.5,8.8,9.9,8.596,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0
pm-972,,0.0,R,Sim,Topázio,5.0,6.6,10.0,9.5,7.5,8.1,9.6,8.254,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase + Bolsa,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-973,9,1.0,N,Não,Ágata,5.0,2.7,7.9,6.3,6.3,6.9,6.8,5.933,Escola Pública,Veterano,Alocado em Fase anterior,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-977,,1.0,B,Não,Ágata,5.0,5.4,7.1,9.0,7.5,5.8,5.1,6.249,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-983,10,3.0,L,Sim,Topázio,10.0,7.2,7.5,7.9,7.5,8.5,9.8,8.296,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),1.0
pm-984,10,1.0,G,Não,Quartzo,5.0,1.1,0.4,9.5,7.5,7.2,4.3,4.081,Escola Pública,Veterano,Não avaliado,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-986,14,4.0,F,Não,Ágata,5.0,6.3,6.4,8.8,1.9,8.3,7.5,6.427,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Nível 5 (1o EM),-1.0
pm-987,,0.0,L,Não,Ametista,10.0,6.1,8.3,9.0,7.5,7.2,8.6,7.965,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
