id_aluno,idade_aluno_2020,fase_2022,turma_2022,ponto_virada_2022,pedra_2022,ian_2022,ida_2022,ieg_2022,iaa_2022,ips_2022,ipp_2022,ipv_2022,inde_2022,cg_2022,cf_2022,ct_2022,destaque_ieg_2022,destaque_ida_2022,destaque_ipv_2022,nota_port_2022,nota_mat_2022,nota_ing_2022,rec_ava_1_2022,rec_ava_2_2022,rec_ava_3_2022,rec_ava_4_2022,indicado_bolsa_2022,nivel_ideal_2022,ano_ingresso_2022,bolsista_2022,qtd_aval_2022
pm-822,,1.0,C,Não,Topázio,10.0,8.333333333333332,9.595238095238097,9.000020000000001,5.625,6.25,7.77778,8.228772285714285,77.0,17.0,2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.166666666666666,8.5,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Fase 1 (4º ano),2021,Não,3.0
pm-823,10,2.0,L,Não,Ametista,5.0,7.166666666666667,9.320987654320987,9.50002,8.75,6.458333333333334,8.222226666666668,7.912811530864198,164.0,23.0,6.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.666666666666667,7.666666666666667,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Fase 3 (7º e 8º ano),2018,Sim,3.0
pm-824,10,2.0,U,Não,Quartzo,5.0,4.25,6.060606060606061,8.000020000000001,7.5,6.25,5.888886666666666,5.914900545454545,737.0,134.0,15.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.5,4.0,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Fase 3 (7º e 8º ano),2019,Não,3.0
pm-825,13,3.0,B,Não,Quartzo,5.0,5.477777777777778,5.579065150087494,7.91667,4.375,7.8125,4.916665,5.705118585573055,759.0,109.0,9.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.666666666666667,5.0,6.766666666666667,Promovido de Fase,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,Fase 5 (1º EM),2018,Sim,4.0
pm-828,15,6.0,A,Não,Ágata,5.0,3.833333333333334,4.845885093167702,9.58335,8.125,7.96875,7.27778,6.259109685300206,692.0,13.0,13.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.666666666666667,4.0,2.833333333333333,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Não,Fase 7 (3º EM),2016,Sim,4.0
pm-829,12,4.0,F,Não,Ametista,10.0,5.666666666666667,8.249458874458874,9.16668,5.625,6.71875,5.91666,7.117600108225108,450.0,36.0,8.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.833333333333333,6.166666666666667,5.0,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não,Fase 4 (9º ano),2017,Não,4.0
pm-830,13,5.0,B,Não,Topázio,10.0,7.166666666666667,9.241898148148149,9.58335,6.25,6.458333333333334,8.125005,8.135882296296298,103.0,9.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,4.5,8.0,9.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,,Não,Fase 5 (1º EM),2017,Sim,3.0
pm-831,11,2.0,U,Não,Ágata,5.0,3.0,9.104156712852363,9.50002,7.5,6.25,5.999996666666668,6.445832675903806,650.0,115.0,10.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1.333333333333333,4.666666666666667,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Fase 3 (7º e 8º ano),2019,Não,3.0
pm-832,,3.0,E,Sim,Topázio,10.0,6.944444444444446,9.375,10.00002,7.5,9.0625,8.5000025,8.62014138888889,27.0,7.0,1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.666666666666667,7.166666666666667,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sim,Fase 3 (7º e 8º ano),2022,Não,4.0
pm-834,,3.0,A,Não,Ágata,5.0,4.5,7.739245951417004,7.91667,7.5,7.5,6.8749975,6.614515690283401,621.0,81.0,14.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,3.333333333333333,5.666666666666667,4.5,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não,Fase 5 (1º EM),2021,Não,4.0
